Technology,Keywords
iterative usability testing,['iterative usability testing']
jmps,['jmps']
services oriented architecture,['services oriented architecture']
usmc aviation,['usmc aviation']
education,"['education', 'computer-managed instruction', 'e-learning', 'distance learning', 'learning management systems', 'interactive learning environments', 'digital libraries and archives', 'computer-assisted instruction', 'collaborative learning']"
workout app,['workout app']
work practice analysis,['work practice analysis']
competency-based learning,['competency-based learning']
gameful design,['gameful design']
validated adaptive recommendations,['validated adaptive recommendations']
work recovery,['work recovery']
thickness loss,['thickness loss']
work-related musculoskeletal disorders (wmsds),['work-related musculoskeletal disorders (wmsds)']
work unit code correction,['work unit code correction']
ipv6,['ipv6']
mobile c-scan generation,['mobile c-scan generation']
robotic inspection,['robotic inspection']
sensor development,['sensor development']
worldview-3,['worldview-3']
joint sensor data compression,['joint sensor data compression']
measurement space,['measurement space']
binary hardening,['binary hardening']
worst-case execution time analysis,['worst-case execution time analysis']
code transplantation,['code transplantation']
machine code analysis,['machine code analysis']
translation validation,['translation validation']
1000v,['1000v']
advanced nde data analysis techniques,['advanced nde data analysis techniques']
agile tooling,['agile tooling']
anaerobic adhesives,['anaerobic adhesives']
artificial muscles,['artificial muscles']
automatic power routing,['automatic power routing']
bimodal,['bimodal']
bridge converter,['bridge converter']
cmc defect characterization,['cmc defect characterization']
contamination resistance,['contamination resistance']
dc,['dc']
double sided tape,['double sided tape']
efi,['efi']
electromagnetic launch,['electromagnetic launch']
electro thermal ignition,['electro thermal ignition']
environmental damage,['environmental damage']
exploding wire electron transfer dissociation,['exploding wire electron transfer dissociation']
flame retardant army combat uniform,['flame retardant army combat uniform']
flame retardant fabric,['flame retardant fabric']
fluid heat exchanger,['fluid heat exchanger']
galley,['galley']
golden hour,['golden hour']
high current,['high current']
hose,['hose']
hvcb,['hvcb']
indigenous operator platform,['indigenous operator platform']
laser drilling efficiency improvement,['laser drilling efficiency improvement']
magnetic induction plasma engine,['magnetic induction plasma engine']
middle-ear reflex,['middle-ear reflex']
non-nickel,['non-nickel']
nosocomial infection,['nosocomial infection']
opaqueable,['opaqueable']
optical strain measurement,['optical strain measurement']
phage stabilization,['phage stabilization']
print human tissue,['print human tissue']
ratiometric luminescence imaging,['ratiometric luminescence imaging']
rebound dynamics,['rebound dynamics']
recoil gun,['recoil gun']
removable seats,['removable seats']
rigid wall shelter,['rigid wall shelter']
seabed energy,['seabed energy']
shipboard applications,['shipboard applications']
spinal,['spinal']
structural bonding,['structural bonding']
temperature sensing,['temperature sensing']
thermally resistant aluminum,['thermally resistant aluminum']
tracer particles,['tracer particles']
undersea power,['undersea power']
urine collection device,['urine collection device']
wear,['wear']
wound care,['wound care']
a-kit,['a-kit']
wounded warrior,['wounded warrior']
autonomous transportation,['autonomous transportation']
intelligent controls,['intelligent controls']
mini robot,['mini robot']
real-time surveying,['real-time surveying']
terrain awareness,['terrain awareness']
patient stabilization,['patient stabilization']
wound healing tracking,['wound healing tracking']
human-in-the-loop (hitl),['human-in-the-loop (hitl)']
intelligent visual sensing,['intelligent visual sensing']
ip-based satellite systems,['ip-based satellite systems']
mission-aware information,['mission-aware information']
network topology,['network topology']
priority conflict resolution,['priority conflict resolution']
reduce training costs,['reduce training costs']
remote pilot,['remote pilot']
separated by commas,['separated by commas']
track association,['track association']
apps,['apps']
haptic devices,['haptic devices']
compensator,['compensator']
dc/ac power conversion,['dc/ac power conversion']
electric starter/generator,['electric starter/generator']
gallium-nitride,['gallium-nitride']
generator control units,['generator control units']
load bank,['load bank']
propulsion architecture,['propulsion architecture']
thermal management system (tms),['thermal management system (tms)']
transient dynamic,['transient dynamic']
uninterruptible power supply (ups),['uninterruptible power supply (ups)']
wr,['wr']
k band,['k band']
wr51,['wr51']
design flow,['design flow']
firmware exploits,['firmware exploits']
parallel simulation,['parallel simulation']
secure collaboration,['secure collaboration']
trustworthiness evaluation,['trustworthiness evaluation']
low-g,['low-g']
w-re,['w-re']
metal-embedded,['metal-embedded']
wristbands,['wristbands']
wristband,['wristband']
wrnmmc,['wrnmmc']
asw threat analysis,['asw threat analysis']
fusion framework,['fusion framework']
sea-state estimation,['sea-state estimation']
rare earth,['rare earth']
wrought alloys,['wrought alloys']
ws3 elevator,['ws3 elevator']
reduced deployment failure,['reduced deployment failure']
ec2,['ec2']
wsf-e,['wsf-e']
temperature sounding,['temperature sounding']
wsmd,['wsmd']
x,['x']
bidirectional reflectance,['bidirectional reflectance']
cad models,['cad models']
galaxy,['galaxy']
high power electromagnetic interference (hpemi),['high power electromagnetic interference (hpemi)']
posing,['posing']
x265,['x265']
performance monitoring.,['performance monitoring.']
bct,['bct']
xact,['xact']
responsive space,['responsive space']
rapid cubesat delivery,['rapid cubesat delivery']
xb1,['xb1']
coherent distributed aperture,['coherent distributed aperture']
espa ring,['espa ring']
in-space assembly,['in-space assembly']
magnetic anomaly detector,['magnetic anomaly detector']
micro satellite,['micro satellite']
mission data link,['mission data link']
polarimetric brdf,['polarimetric brdf']
printed circuit board,['printed circuit board']
rf on fiber,['rf on fiber']
satellite communicationsafscn transpondersoftware defined radio (sdr)cubesat transceiverprogrammable frequency transceivermodular radio architecturefield programma,['satellite communicationsafscn transpondersoftware defined radio (sdr)cubesat transceiverprogrammable frequency transceivermodular radio architecturefield programma']
satellite structures,['satellite structures']
self-injection locking,['self-injection locking']
sensor sonobuoy,['sensor sonobuoy']
series elastic actuator,['series elastic actuator']
super cavity,['super cavity']
towing,['towing']
unmanned arial vehicle,['unmanned arial vehicle']
x-band filter,['x-band filter']
digital radio,['digital radio']
x-class usv,['x-class usv']
